day,Min,glo_avg,diff_avg,lw_avg,tp_sfc,humid,press,wd_10m,ws_10m
1,0,-4.276,-1.804,347.4,20.53,79.9,904.91,196.8,0.077
1,1,-4.356,-1.801,347.3,20.47,80.1,904.97,197.6,0.067
1,2,-4.359,-1.78,348,20.4,80.2,904.97,209.5,0.094
1,3,-4.239,-1.711,348.8,20.37,80.2,905.03,212.9,0.344
1,4,-4.206,-1.723,348.9,20.34,80.3,905.03,214.6,0.365
1,5,-4.204,-1.729,349,20.29,80.4,905.09,216.7,0.353
1,6,-4.201,-1.771,349,20.3,80.6,905.09,221.8,0.32
1,7,-4.121,-1.729,347.5,20.24,80.9,905.15,232.5,0.309
1,8,-4.189,-1.651,347.2,20.11,80.9,905.09,256.4,0.236
1,9,-4.166,-1.603,348.9,20.01,81.2,905.15,258.6,0.374
1,10,-3.873,-1.47,349.7,19.96,81.1,905.15,257.5,0.34
1,11,-3.6,-1.443,350.1,19.96,81.2,905.21,250.2,0.531
1,12,-3.395,-1.516,349.6,20.04,80.9,905.21,257.9,0.385
1,13,-3.335,-1.621,349.9,19.96,81,905.27,265.5,0.283
1,14,-3.445,-1.663,349.9,19.98,81.1,905.27,260.4,0.363
1,15,-3.595,-1.699,350.4,19.98,81.3,905.27,249.4,0.417
1,16,-3.605,-1.684,351.3,19.89,81.5,905.27,245.2,0.435
1,17,-3.605,-1.624,351.5,19.79,81.5,905.27,245,0.399
1,18,-3.593,-1.624,351.6,19.86,81.7,905.27,235.3,0.41
1,19,-3.508,-1.624,350.9,19.78,81.8,905.33,234.3,0.301
1,20,-3.6,-1.63,350.8,19.78,82,905.39,230.5,0.108
1,21,-3.688,-1.648,351.3,19.81,82,905.45,228.7,0.135
1,22,-3.808,-1.642,351.7,19.84,82.2,905.45,228.2,0.035
1,23,-3.893,-1.657,351.6,19.78,82.5,905.45,228.6,0.023
1,24,-3.906,-1.684,352.2,19.79,83,905.51,228.7,0
1,25,-3.803,-1.651,352.2,19.78,83,905.57,0,0
1,26,-3.613,-1.627,352.1,19.89,82.9,905.57,140.7,0.028
1,27,-3.54,-1.636,351.3,19.88,82.5,905.63,138.4,0.175
1,28,-3.47,-1.678,350.1,19.96,82.4,905.57,132.3,0.149
1,29,-3.6,-1.78,350.2,19.96,82.8,905.64,161.1,0.129
1,30,-3.806,-1.804,350.3,19.98,82.8,905.64,184,0.104
1,31,-3.906,-1.804,350.6,19.91,83,905.64,194.3,0.217
