id;year;day;min;dir_avg;tp_sfc;humid;press;ws_10m;wd_10m
1;2019;91;0;-0.417;24.62;89.80;1010.86;1.273;64.5
1;2019;91;1;-0.377;24.69;89.70;1010.83;1.118;57.4
1;2019;91;2;-0.346;24.67;90.00;1010.86;1.095;91.7
1;2019;91;3;-0.471;24.64;90.60;1010.89;0.995;76.0
1;2019;91;4;-0.444;24.58;90.60;1010.89;0.930;85.8
1;2019;91;5;-0.444;24.59;90.60;1010.86;0.747;98.5
1;2019;91;6;-0.431;24.57;90.40;1010.86;0.669;87.5
1;2019;91;7;-0.408;24.60;90.50;1010.89;0.598;88.2
1;2019;91;8;-0.448;24.59;90.70;1010.80;0.452;84.5
1;2019;91;9;-0.368;24.58;90.40;1010.89;0.913;78.5
1;2019;91;10;-0.377;24.58;90.40;1010.86;0.656;93.7
1;2019;91;11;-0.404;24.57;90.40;1010.92;0.594;74.8
1;2019;91;12;-0.280;24.70;90.00;1010.89;0.583;73.9
1;2019;91;13;-0.249;24.73;89.90;1010.92;0.857;76.8
1;2019;91;14;-0.240;24.71;90.00;1010.92;0.926;57.3
1;2019;91;15;-0.240;24.72;89.20;1010.92;0.919;70.4
1;2019;91;16;-0.240;24.81;89.40;1010.91;0.906;64.4
1;2019;91;17;-0.240;24.83;89.60;1010.94;0.730;53.6
1;2019;91;18;-0.240;24.75;89.50;1011.04;0.341;9.2
1;2019;91;19;-0.235;24.79;89.30;1011.01;0.140;18.6
1;2019;91;20;-0.120;24.81;89.50;1011.04;0.256;26.8
1;2019;91;21;-0.075;24.81;89.40;1011.03;0.074;58.7
1;2019;91;22;-0.102;24.76;89.20;1011.06;0;0
1;2019;91;23;-0.044;24.79;89.00;1011.09;0;0
1;2019;91;24;-0.084;24.85;89.30;1011.10;0;0
1;2019;91;25;-0.098;24.81;89.80;1011.13;0;0
1;2019;91;26;-0.084;24.77;89.50;1011.19;0.046;94.1
1;2019;91;27;-0.067;24.77;89.50;1011.16;0.004;60.9
1;2019;91;28;-0.058;24.86;88.90;1011.19;0;0
1;2019;91;29;-0.080;24.85;89.00;1011.22;0;0
1;2019;91;30;-0.067;24.86;89.00;1011.19;0;0
1;2019;91;31;-0.049;24.86;89.20;1011.19;0;0
1;2019;91;32;-0.022;24.85;88.50;1011.19;0.120;281.0
1;2019;91;33;-0.115;24.85;88.90;1011.25;0.079;293.6
1;2019;91;34;-0.160;24.85;88.70;1011.22;0.009;311.3
1;2019;91;35;-0.142;24.94;88.20;1011.25;0;0
1;2019;91;36;-0.075;24.98;87.60;1011.22;0;0
1;2019;91;37;-0.115;24.89;89.40;1011.22;0;0
1;2019;91;38;-0.093;24.85;89.30;1011.19;0;0
1;2019;91;39;-0.111;24.87;89.10;1011.22;0;0
1;2019;91;40;-0.186;24.80;89.70;1011.22;0;0
1;2019;91;41;-0.186;24.85;89.30;1011.28;0;0
1;2019;91;42;-0.200;24.78;89.30;1011.25;0;0
1;2019;91;43;-0.231;24.80;89.40;1011.29;0;0
1;2019;91;44;-0.240;24.84;90.20;1011.31;0;0
1;2019;91;45;-0.231;24.72;90.00;1011.34;0;0
1;2019;91;46;-0.231;24.72;89.20;1011.37;0;0
1;2019;91;47;-0.222;24.76;89.00;1011.37;0;0
1;2019;91;48;-0.222;24.89;88.90;1011.37;0;0
1;2019;91;49;-0.213;24.85;89.00;1011.37;0.065;64.6
1;2019;91;50;-0.200;24.84;89.20;1011.35;0.309;60.9
1;2019;91;51;-0.173;24.84;89.00;1011.35;0.745;52.2
1;2019;91;52;-0.111;24.85;89.30;1011.32;0.815;49.1
1;2019;91;53;-0.151;24.87;89.10;1011.32;0.710;50.1
1;2019;91;54;-0.155;24.77;89.40;1011.38;1.082;42.5
1;2019;91;55;-0.129;24.75;89.40;1011.38;1.522;52.4
1;2019;91;56;-0.218;24.74;89.20;1011.41;1.064;46.3
1;2019;91;57;-0.222;24.75;89.70;1011.41;0.959;52.7
1;2019;91;58;-0.213;24.74;89.20;1011.41;1.265;58.1
1;2019;91;59;-0.226;24.70;89.60;1011.44;1.212;69.9
1;2019;91;60;-0.235;24.67;90.10;1011.41;0.858;77.8
1;2019;91;61;-0.240;24.61;89.30;1011.44;0.676;58.9
1;2019;91;62;-0.240;24.68;89.30;1011.44;0.756;89.5
1;2019;91;63;-0.240;24.67;89.80;1011.47;0.821;102.2
1;2019;91;64;-0.240;24.60;89.50;1011.44;1.064;94.5
1;2019;91;65;-0.240;24.72;89.20;1011.47;0.799;91.5
1;2019;91;66;-0.240;24.75;89.50;1011.44;0.676;106.9
1;2019;91;67;-0.244;24.74;89.00;1011.46;0.508;94.1
1;2019;91;68;-0.240;24.70;89.10;1011.43;0.268;75.7
1;2019;91;69;-0.240;24.76;88.70;1011.43;0.230;93.2
1;2019;91;70;-0.240;24.81;88.90;1011.40;0.725;61.6
1;2019;91;71;-0.240;24.83;88.20;1011.40;0.398;58.7
1;2019;91;72;-0.240;24.84;88.10;1011.43;0.673;44.4
1;2019;91;73;-0.218;24.85;87.80;1011.47;0.925;36.5
1;2019;91;74;-0.240;24.85;88.20;1011.50;0.617;35.0
1;2019;91;75;-0.231;24.91;87.60;1011.47;0.821;49.2
1;2019;91;76;-0.231;24.93;87.50;1011.50;1.137;43.9
1;2019;91;77;-0.155;24.94;86.40;1011.53;1.144;47.6
1;2019;91;78;-0.235;24.99;86.90;1011.53;0.462;34.9
1;2019;91;79;-0.240;24.91;87.50;1011.53;0.489;12.3
1;2019;91;80;-0.240;24.91;87.40;1011.59;0.636;34.8
1;2019;91;81;-0.240;24.91;87.20;1011.59;0.313;50.9
1;2019;91;82;-0.235;24.89;87.50;1011.56;0.677;33.8
1;2019;91;83;-0.240;24.88;87.40;1011.59;0.607;43.8
1;2019;91;84;-0.235;24.97;86.80;1011.56;1.427;44.6
1;2019;91;85;-0.240;24.89;86.70;1011.53;1.593;43.3
1;2019;91;86;-0.231;24.95;86.50;1011.56;1.210;25.6
1;2019;91;87;-0.240;24.95;87.20;1011.56;0.671;54.0
1;2019;91;88;-0.240;24.89;87.70;1011.56;0.925;62.0
1;2019;91;89;-0.240;24.89;87.40;1011.53;0.638;78.6
1;2019;91;90;-0.244;24.87;86.80;1011.59;0.766;54.3
1;2019;91;91;-0.337;24.80;88.20;1011.56;0.628;93.8
1;2019;91;92;-0.453;24.76;89.00;1011.59;0.708;95.9
1;2019;91;93;-0.466;24.69;89.10;1011.59;0.845;89.9
1;2019;91;94;-0.315;24.74;86.10;1011.65;1.139;48.0
1;2019;91;95;-0.377;24.90;86.90;1011.65;0.530;99.6
1;2019;91;96;-0.475;24.98;86.40;1011.65;0.377;117.0
1;2019;91;97;-0.444;24.95;86.30;1011.68;0.056;113.9
1;2019;91;98;-0.431;24.94;86.10;1011.68;0;0
1;2019;91;99;-0.337;24.96;86.10;1011.71;0;0
1;2019;91;100;-0.377;25.01;86.60;1011.68;0.014;227.6
1;2019;91;101;-0.306;24.97;87.30;1011.74;0.057;275.2
1;2019;91;102;-0.360;25.00;86.50;1011.77;0.002;278.2
